connection_id,source_group_id,target_group_id,people_count,primary_tag,tags,data_status
tech-design,technology,design,132,product,product;ux;technology,seed
tech-product,technology,product,168,product,product;software;strategy,seed
tech-entrepreneurship,technology,entrepreneurship,205,startups,startups;technology;fundraising,seed
tech-finance,technology,finance,94,fintech,fintech;technology;investment,seed
tech-research,technology,research,116,research,research;ai;data,seed
tech-health,technology,health,71,healthtech,healthtech;data;research,seed
tech-architecture,technology,architecture,54,urbanism,urbanism;technology;sustainability,seed
design-product,design,product,143,product-design,product-design;ux;strategy,seed
design-architecture,design,architecture,82,design,design;architecture;planning,seed
design-culture,design,culture,77,creative,creative;art;media,seed
product-entrepreneurship,product,entrepreneurship,126,business,business;product;startups,seed
product-finance,product,finance,62,fintech,fintech;strategy;investment,seed
finance-entrepreneurship,finance,entrepreneurship,151,investment,investment;fundraising;business,seed
finance-legal,finance,legal,68,business,business;law;banking,seed
finance-policy,finance,policy,57,policy,policy;banking;governance,seed
entrepreneurship-legal,entrepreneurship,legal,73,business,business;law;startups,seed
entrepreneurship-policy,entrepreneurship,policy,66,leadership,leadership;policy;business,seed
entrepreneurship-culture,entrepreneurship,culture,59,media,media;business;culture,seed
research-health,research,health,109,research,research;medicine;biotech,seed
research-policy,research,policy,63,education,education;policy;science,seed
research-sustainability,research,sustainability,74,climate,climate;science;energy,seed
health-policy,health,policy,51,policy,health;policy;governance,seed
health-legal,health,legal,42,law,health;law;governance,seed
architecture-sustainability,architecture,sustainability,112,sustainability,sustainability;urbanism;energy,seed
architecture-policy,architecture,policy,58,planning,planning;policy;governance,seed
culture-policy,culture,policy,47,heritage,heritage;policy;media,seed
culture-legal,culture,legal,36,media,media;law;culture,seed
sustainability-policy,sustainability,policy,69,climate,climate;policy;energy,seed
sustainability-finance,sustainability,finance,61,investment,investment;energy;climate,seed
legal-policy,legal,policy,84,governance,governance;law;policy,seed
